Laser Not Off Scale Pullup Fractions (Linear and Quadratic Parts) Per Channel Pairs
1->2 lin.	1->2 quad.	1->3 lin.	1->3 quad.	1->4 lin.	1->4 quad.	1->5 lin.	1->5 quad.	2->1 lin.	2->1 quad.	2->3 lin.	2->3 quad.	2->4 lin.	2->4 quad.	2->5 lin.	2->5 quad.	3->1 lin.	3->1 quad.	3->2 lin.	3->2 quad.	3->4 lin.	3->4 quad.	3->5 lin.	3->5 quad.	4->1 lin.	4->1 quad.	4->2 lin.	4->2 quad.	4->3 lin.	4->3 quad.	4->5 lin.	4->5 quad.	5->1 lin.	5->1 quad.	5->2 lin.	5->2 quad.	5->3 lin.	5->3 quad.	5->4 lin.	5->4 quad.	
91.92124317	-4.463523989e-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17.84895186	-1.365331735e-02	0	0	0	0	0	0	0	0	-2.871030402	-3.367513837e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17.84895186	-1.365331735e-02	0	0	0	0	0	0	0	0	-2.871030402	-3.367513837e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-2.999041206	1.163746238e-03	0	0	0	0	0	0	126.6971318	-0.2398658017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17.84895186	-1.365331735e-02	0	0	0	0	0	0	0	0	-2.871030402	-3.367513837e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17.84895186	-1.365331735e-02	0	0	0	0	0	0	0	0	-2.871030402	-3.367513837e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.4250241869	-2.507288541e-04	0	0	0	0	0	0	-2.435130372	2.924539891e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-2.999041206	1.163746238e-03	0	0	0	0	0	0	126.6971318	-0.2398658017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-2.999041206	1.163746238e-03	0	0	0	0	0	0	126.6971318	-0.2398658017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.4250241869	-2.507288541e-04	0	0	0	0	0	0	-2.435130372	2.924539891e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-2.999041206	1.163746238e-03	0	0	0	0	0	0	126.6971318	-0.2398658017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.4250241869	-2.507288541e-04	0	0	0	0	0	0	-2.435130372	2.924539891e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.4250241869	-2.507288541e-04	0	0	0	0	0	0	-2.435130372	2.924539891e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17.84895186	-1.365331735e-02	0	0	0	0	0	0	0	0	-2.871030402	-3.367513837e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.4250241869	-2.507288541e-04	0	0	0	0	0	0	-2.435130372	2.924539891e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-2.999041206	1.163746238e-03	0	0	0	0	0	0	126.6971318	-0.2398658017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.4250241869	-2.507288541e-04	0	0	0	0	0	0	-2.435130372	2.924539891e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17.84895186	-1.365331735e-02	0	0	0	0	0	0	0	0	-2.871030402	-3.367513837e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
